연번,기업명,전화번호,주소,산업분류
12184,메를로랩,,경기도 화성시 병점구 반월동 589-6,전구 및 램프 제조업
12185,세기디자인출력,031-356-4297,경기도 화성시 만세구 마도면 청원리 681-1,제판 및 조판업
12186,이천정공(화성점),,경기도 화성시 효행구 정남면 덕절리 21,주형 및 금형 제조업
12187,비유와이테크buyTECH,,경기도 화성시 효행구 정남면 백리 403-1,절삭 가공 및 유사 처리업
12188,유림티앤씨,,경기도 화성시 만세구 팔탄면 하저리 269-7,주형 및 금형 제조업
12189,행복한밥상 협동조합 집밥의 정석,031-204-3446,경기도 화성시 동탄구 영천동 823-6,과실 및 그 외 채소 절임식품 제조업
12190,대영티앤에스,031-356-1295,경기도 화성시 효행구 비봉면 자안리 681-3,절삭 가공 및 유사 처리업
12191,우성세이프티,031-502-2161,경기도 화성시 만세구 남양읍 신남리 1142-5,구조용 금속 판제품 및 공작물 제조업
12192,주식회사 한성테크100,031-898-8365,,전기 경보 및 신호장치 제조업
12193,(주)에이치에스산업안전,031-223-0404,경기도 화성시 효행구 배양동 45-11,구조용 금속 판제품 및 공작물 제조업
12194,(주)오에스아이 2 공장,031-547-9321,,기타 절연선 및 케이블 제조업
12195,닭앤닭,031-353-7944,경기도 화성시 만세구 향남읍 발안리 27-15,가금류 가공 및 저장 처리업
12196,쓰리젯라인드(주),031-356-9174,경기도 화성시 만세구 송산면 쌍정리 1098-1,"탭, 밸브 및 유사 장치 제조업"
12197,알투스ALTUS,,경기도 화성시 동탄구 영천동 832-1,음·식료품 및 담배 가공기계 제조업
12198,(주)성우 스틸*,031-8059-5507,경기도 화성시 만세구 양감면 요당리 3-27,금속 단조제품 제조업
12199,프린트하우스,031-630-2301,경기도 화성시 동탄구 영천동 853-1,경 인쇄업
12200,와산업 주식회사 지점,031-494-0611,경기도 화성시 만세구 마도면 청원리 1299,기타 반도체 소자 제조업
12201,에이원 메디테크,031-8059-0145,경기도 화성시 만세구 향남읍 송곡리 448-13,정형 외과용 및 신체 보정용 기기 제조업
12202,제이에이치산업(JH산업),031-354-6947,경기도 화성시 만세구 양감면 용소리 1123-16,혼성 및 재생 플라스틱 소재 물질 제조업
12203,대호분체,031-351-4460,경기도 화성시 만세구 장안면 석포리 785-172,도장 및 기타 피막 처리업
12204,아이프리마,031-352-8542,경기도 화성시 효행구 정남면 귀래리 437-2,절삭 가공 및 유사 처리업
12205,달려라테크,,경기도 화성시 만세구 향남읍 길성리 430-3,절삭 가공 및 유사 처리업
12206,현대토탈씽크대,,경기도 화성시 만세구 마도면 두곡리 484-1,금속 가구 제조업
12207,주식회사 삼성정공산업*,,경기도 화성시 만세구 팔탄면 율암리 74-10,그 외 기타 1차 철강 제조업
12208,쓰리디프리욜ThreeDPriyolcoltd,070-4048-7547,경기도 화성시 효행구 정남면 음양리 915,절삭 가공 및 유사 처리업
12209,부성MP,031-222-6197,경기도 화성시 효행구 배양동 65-161,자동차용 금속 압형제품 제조업
12210,나도용접,,경기도 화성시 만세구 향남읍 관리 216-1,절삭 가공 및 유사 처리업
12211,엠에스제이플러스,031-352-1079,경기도 화성시 만세구 팔탄면 덕우리 11-2,운송장비 조립용 플라스틱제품 제조업
12212,에이스,,경기도 화성시 병점구 안녕동 183-18,배전반 및 전기 자동제어반 제조업
12213,엠텍비젼 주식회사,031-8059-5987,경기도 화성시 만세구 양감면 정문리 370-3,운송장비 조립용 플라스틱제품 제조업
12214,세광,,경기도 화성시 만세구 양감면 사창리 775,도장 및 기타 피막 처리업
12215,주식회사 에이펙스,,,"플라스틱 포대, 봉투 및 유사제품 제조업"
12216,주식회사 대일금속,031-366-7181,경기도 화성시 만세구 남양읍 신남리 468,자동차용 금속 압형제품 제조업
12217,주식회사 피티에스,031-345-4188,경기도 화성시 효행구 정남면 귀래리 143-5,기타 플라스틱 발포 성형제품 제조업
12218,비에스티,,경기도 화성시 만세구 향남읍 증거리 187,기타 반도체 소자 제조업
12219,캠프로,031-484-7940,경기도 화성시 만세구 팔탄면 율암리 83-14,주형 및 금형 제조업
12220,대호정공,031-366-1578,경기도 화성시 효행구 정남면 귀래리 498-3,그 외 기타 분류 안된 금속 가공제품 제조업
12221,박평의 인생추어탕 피앤엘푸두,,경기도 화성시 효행구 봉담읍 하가등리 259,기타 수산동물 가공 및 저장 처리업
12222,유나 프로토,,경기도 화성시 병점구 반월동 692-10,전시용 모형 제조업
12223,에이비비알 주식회사,02-2138-3137,경기도 화성시 효행구 정남면 신리 187-1,커피 가공업
12224,(주)삼원,031-351-7817,경기도 화성시 만세구 팔탄면 가재리 142-7,산업용 냉장 및 냉동장비 제조업
12225,홍창희공방,,경기도 화성시 만세구 팔탄면 하저리 916,기타 음향기기 제조업
12226,플러스비젼,,경기도 화성시 효행구 정남면 보통리 415-30,반도체 제조용 기계 제조업
12227,(주)이화이엔지,,경기도 화성시 만세구 장안면 석포리 390-3,자동차 차체용 신품 부품 제조업
12228,라이스코,031-225-8568,경기도 화성시 만세구 향남읍 갈천리 1-22,절삭 가공 및 유사 처리업
12229,우성기업(주),031-357-9611,경기도 화성시 만세구 송산면 중송리 572-6,그 외 자동차용 신품 부품 제조업
12230,세림기공,031-355-4810,경기도 화성시 만세구 마도면 쌍송리 662,절삭 가공 및 유사 처리업
12231,동해정밀공업사,031-366-9151,경기도 화성시 만세구 남양읍 온석리 297-5,주형 및 금형 제조업
12232,주식회사 백두이엔지,031-357-8721,경기도 화성시 만세구 서신면 매화리 759-218,육상 금속 골조 구조재 제조업
12233,주식회사 태영금속,,경기도 화성시 만세구 향남읍 구문천리 930-16,도금업
12234,청우정밀주식회사,031-366-4432,경기도 화성시 효행구 정남면 내리 63-1,반도체 제조용 기계 제조업
12235,주식회사 남준기술,031-353-7790,경기도 화성시 만세구 팔탄면 율암리 29,그 외 기타 고무제품 제조업
12236,주식회사이화팬텍,031-8059-1156,경기도 화성시 효행구 비봉면 자안리 572-15,산업용 송풍기 및 배기장치 제조업
12237,이규테크,,경기도 화성시 만세구 양감면 사창리 195-110,그 외 기타 전자 부품 제조업
12238,MS정밀,,경기도 화성시 효행구 정남면 괘랑리 499-17,절삭 가공 및 유사 처리업
12239,명일테크,,경기도 화성시 만세구 마도면 석교리 593-7,배전반 및 전기 자동제어반 제조업
12240,씨에스테크,,경기도 화성시 병점구 병점동 379-10,배전반 및 전기 자동제어반 제조업
12241,천일기업,031-356-2171,경기도 화성시 만세구 마도면 청원리 2,"천막, 텐트 및 유사 제품 제조업"
12242,우창산업건설(주)화성공장,031-482-9204,경기도 화성시 만세구 송산면 지화리 663-12,육상 금속 골조 구조재 제조업
12243,한결컨테이너,,경기도 화성시 만세구 남양읍 남양리 9,기타 구조용 금속제품 제조업
12244,(주)엔케이에스,031-365-3200,경기도 화성시 동탄구 영천동 844-1,컴퓨터 모니터 제조업
12245,우리테크,,경기도 화성시 만세구 팔탄면 구장리 127-83,반도체 제조용 기계 제조업
12246,두산지게차A.S,,경기도 화성시 효행구 봉담읍 하가등리 203-12,건설·광업용 기계 및 장비 수리업
12247,좋은프로텍,,경기도 화성시 병점구 안녕동 188-507,기타 반도체 소자 제조업
12248,(주) 현우기업,031-358-5878,경기도 화성시 만세구 장안면 석포리 448-35,접착제 및 젤라틴 제조업
12249,주식회사 다올스페이스,031-8055-8069,경기도 화성시 병점구 반월동 286-67,그 외 기타 금속 가공업
12250,가나식품주식회사,031-366-6251,경기도 화성시 만세구 장안면 석포리 714-1,천연 및 혼합 조제 조미료 제조업
12251,거양에스티,,경기도 화성시 만세구 팔탄면 구장리 38-63,구조용 금속 판제품 및 공작물 제조업
12252,（주）한양스크류,02-2635-1610,경기도 화성시 만세구 팔탄면 하저리 268,볼트 및 너트류 제조업
12253,누리시스템,031-358-6395,경기도 화성시 만세구 장안면 사랑리 251-2,플라스틱 접착처리 제품 제조업
12254,주)기승산업 제2공장,031-353-7918,경기도 화성시 효행구 정남면 백리 103-9,플라스틱 필름 제조업
12255,디에이치씨,,경기도 화성시 효행구 정남면 귀래리 55-8,절삭 가공 및 유사 처리업
12256,주식회사 신안피앤피,,,골판지 상자 및 가공제품 제조업
12257,지에스테크 (GS TECH),,경기도 화성시 효행구 봉담읍 동화리 139-1,컴퓨터 제조업
12258,유림산업,031-366-3268,경기도 화성시 효행구 봉담읍 당하리 79,판지 상자 및 용기 제조업
12259,주식회사 에이피랩,031-8081-7441,경기도 화성시 효행구 봉담읍 동화리 139-1,"물질 검사, 측정 및 분석 기구 제조업"
12260,정우정밀,,경기도 화성시 효행구 정남면 계향리 489,그 외 기타 플라스틱 제품 제조업
12261,용문철공,,경기도 화성시 만세구 서신면 홍법리 250-109,그 외 기타 금속 가공업
12262,서독기계,031-354-2980,경기도 화성시 만세구 팔탄면 지월리 731-26,기타 가공 공작기계 제조업
12263,제이앤비컴퍼니,031-413-9977,경기도 화성시 만세구 팔탄면 가재리 698-14,그 외 기타 금속 가공업
12264,(주)리플로맥스 （REFLOMAX）,031-8014-9700,경기도 화성시 만세구 팔탄면 창곡리 3-5,플라스틱 시트 및 판 제조업
12265,혜성금속,031-484-7205,,금속 단조제품 제조업
12266,꿀벌가구,,경기도 화성시 만세구 양감면 요당리 19-16,기타 목재 가구 제조업
12267,(주)동일 기계,070-4900-6301,경기도 화성시 만세구 남양읍 온석리 388-11,음·식료품 및 담배 가공기계 제조업
12268,(주)의신금속,031-353-7403,경기도 화성시 만세구 향남읍 구문천리 930-16,도금업
12269,에스엔티SNT,,경기도 화성시 만세구 향남읍 구문천리 929-19,일반 철물 제조업
12270,평창연마,,경기도 화성시 병점구 기산동 463-9,그 외 기타 금속 가공업
12271,미가원농업회사법인,031-831-9807,경기도 화성시 효행구 비봉면 청요리 482-3,식물성 유지 제조업
12272,농업회사법인 유한회사 별곡 시흥지점,,경기도 화성시 만세구 남양읍 안석리 380-16,곡물 도정업
12273,에스엠글로벌(SM GLOBAL),031-495-9020,경기도 화성시 효행구 비봉면 양노리 673-1,그 외 기타 일반 목적용 기계 제조업
12274,비에이치산업,031-433-7616,경기도 화성시 만세구 남양읍 북양리 77-6,자동차용 금속 압형제품 제조업
12275,(주)케리텍,031-357-8763,경기도 화성시 만세구 팔탄면 덕우리 15-10,반도체 제조용 기계 제조업
12276,대명LF,,경기도 화성시 만세구 팔탄면 가재리 681,플라스틱 접착처리 제품 제조업
12277,티엠하이테크,,경기도 화성시 효행구 정남면,반도체 제조용 기계 제조업
12278,(주)지와이텐트,031-366-1680,경기도 화성시 만세구 팔탄면 서근리 224-12,육상 금속 골조 구조재 제조업
12279,스마트,,경기도 화성시 만세구 장안면 독정리 276-86,금속 열처리업
12280,소프트피브이,070-4633-2847,경기도 화성시 동탄구 영천동 823-6,기타 반도체 소자 제조업
12281,신원이엔씨*,,경기도 화성시 만세구 서신면 송교리 42-185,육상 금속 골조 구조재 제조업
12282,뉴텍에코홀딩스,031-750-0075,경기도 화성시 효행구 봉담읍 동화리 564,액체 여과기 제조업
12283,NCT,,경기도 화성시 만세구 송산면 중송리 64-5,금속 열처리업
12284,화진,,경기도 화성시 만세구 마도면 쌍송리 139-34,도장 및 기타 피막 처리업
12285,유성와이어컷팅,,경기도 화성시 효행구 봉담읍 마하리 197,절삭 가공 및 유사 처리업
12286,(주)모두기술,031-356-3856,경기도 화성시 만세구 팔탄면 하저리 930-16,기타 무선 통신장비 제조업
12287,(주)케이솔루텍,,경기도 용인시 기흥구 동백동 2,반도체 제조용 기계 제조업
12288,주식회사 우리이엔,,경기도 화성시 만세구 송산면 쌍정리 1249,액체 여과기 제조업
12289,삼연산업,031-387-9090,경기도 화성시 만세구 남양읍 북양리 565-32,위생용 종이제품 제조업
12290,대성포장,031-357-8380,경기도 화성시 만세구 남양읍 신남리 1171,골판지 제조업
12291,우성열기엔지니어링(주),031-359-9934,경기도 화성시 만세구 우정읍 이화리 384-10,인쇄 및 제책용 기계 제조업
12292,주식회사에이스기건,031-357-3023,경기도 화성시 만세구 송산면 중송리 387-5,육상 금속 골조 구조재 제조업
12293,씨에스(CS),031-359-8775,경기도 화성시 효행구 정남면 망월리 286,주형 및 금형 제조업
12294,(주)베프원,031-627-5420,경기도 화성시 동탄구 영천동 823-2,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업"
12295,(주)피에이지플렉스,031-366-6398,경기도 화성시 만세구 팔탄면 화당리 1-50,"플라스틱 포대, 봉투 및 유사제품 제조업"
12296,저스트코퍼레이션,031-5183-1140,경기도 화성시 효행구 정남면 제기리 1-16,배전반 및 전기 자동제어반 제조업
12297,대도산업(주),031-8059-5030,경기도 화성시 만세구 향남읍 요리 74,구조용 금속 판제품 및 공작물 제조업
12298,오에스솔루션,,경기도 화성시 만세구 향남읍 요리 270-16,기타 반도체 소자 제조업
12299,주식회사신생프로비즈,031-527-3600,경기도 화성시 효행구 봉담읍 분천리 112,플라스틱 접착처리 제품 제조업
12300,디에이치피엠,,경기도 화성시 만세구 남양읍 신남리 239-21,주형 및 금형 제조업
12301,영원상사,031-501-9005,경기도 화성시 만세구 팔탄면 율암리 580-10,건설·광업용 기계 및 장비 수리업
12302,케이비이(K.B.E),,경기도 화성시 만세구 양감면 대양리 1210-1,주형 및 금형 제조업
12303,(주)메리테크,070-4818-6602,경기도 화성시 동탄구 영천동 830-1,반도체 제조용 기계 제조업
12304,태성유리.샷시,,경기도 화성시 병점구 진안동 927-7,"금속 문, 창, 셔터 및 관련제품 제조업"
12305,에이치알테크(HR-Tech),,경기도 화성시 만세구 팔탄면 서근리 86-4,반도체 제조용 기계 제조업
12306,태성실업,031-351-7580,경기도 화성시 만세구 우정읍 운평리 1358-5,혼성 및 재생 플라스틱 소재 물질 제조업
12307,하이덴팩,,경기도 화성시 동탄구 영천동 853-3,종이 포대 및 가방 제조업
12308,리바이시스템,,경기도 화성시 동탄구 영천동 652-5,반도체 제조용 기계 제조업
12309,대성환경테크,02-2279-7553,경기도 화성시 동탄구 영천동 836-1,건설 및 채광용 기계장비 제조업
12310,미경특수강,031-355-9831,경기도 화성시 효행구 비봉면 양노리 668-1,그 외 기타 금속 가공업
12311,티티이 주식회사,031-354-3564,경기도 화성시 만세구 양감면 정문리 326,금속 성형기계 제조업
12312,제이엔로드,031-357-2522,경기도 화성시 만세구 장안면 수촌리 574,육상 금속 골조 구조재 제조업
12313,(주)우신특수포장,031-351-4101,경기도 화성시 만세구 장안면 장안리 531,골판지 상자 및 가공제품 제조업
12314,주식회사 광진테크,,경기도 화성시 효행구 정남면 제기리 158,절삭 가공 및 유사 처리업
12315,제이테크,031-354-8244,경기도 화성시 만세구 향남읍 동오리 135-16,그 외 기타 금속 가공업
12316,와이테크,031-241-9319,경기도 화성시 효행구 봉담읍 당하리 147-3,절삭 가공 및 유사 처리업
12317,에이치정밀,,경기도 화성시 효행구 봉담읍 하가등리 296-2,절삭 가공 및 유사 처리업
12318,(주)디에이치엔지니어링,031-356-9434,경기도 화성시 만세구 팔탄면 창곡리 3-9,주형 및 금형 제조업
12319,피씨엔오티에프에이 주식회사,031-245-9600,경기도 화성시 병점구 병점동 382-2,반도체 제조용 기계 제조업
12320,봉담가구,031-353-0534,경기도 화성시 만세구 향남읍 하길리 1001-7,기타 목재 가구 제조업
12321,영주산업*,031-350-3911,경기도 화성시 만세구 향남읍 수직리 309-3,벽 및 바닥 피복용 플라스틱 제품 제조업
12322,하하교정전문치과기공소,031-221-2863,경기도 화성시 병점구 병점동 844-2,치과기공물 제조업
12323,신도,,경기도 화성시 만세구 우정읍 주곡리 161-374,기타 기계·장비 조립용 플라스틱제품 제조업
12324,환경기술연구원 주식회사,031-895-4461,경기도 화성시 효행구 비봉면 청요리 428-38,산업용 냉장 및 냉동장비 제조업
12325,프로파일마스터,,경기도 화성시 효행구 정남면 덕절리 121,기타 구조용 금속제품 제조업
12326,세이프스토리,031-354-6969,경기도 화성시 만세구 팔탄면 율암리 195,부직포 및 펠트 제조업
12327,금광개발,,경기도 화성시 효행구 정남면 수면리 144-15,알루미늄 주물 주조업
12328,(주)밀레니엄엔터프라이즈,,경기도 화성시 만세구 마도면 청원리 487-9,기타 목재 가구 제조업
12329,(주)가천에스케이,032-813-3310,경기도 화성시 만세구 장안면 금의리 440-2,그 외 기타 1차 철강 제조업
12330,(주)한미르,,경기도 화성시 만세구 팔탄면 덕우리 62-2,기타 1차 비철금속 제조업
12331,천일이엔지,031-353-4931,경기도 화성시 효행구 정남면 문학리 263,주형 및 금형 제조업
12332,성민전기,,경기도 화성시 만세구 팔탄면 창곡리 981-9,산업 처리공정 제어장비 제조업
12333,제이앤제이테크,,경기도 화성시 만세구 양감면 요당리 338-1,그 외 기타 전자 부품 제조업
12334,빅스포,031-377-4040,,"체조, 육상 및 체력 단련용 장비 제조업"
12335,주식회사 프로파일테크,050-7139-9356,경기도 화성시 효행구 정남면 문학리 350-16,"알루미늄 압연, 압출 및 연신제품 제조업"
12336,(주)유성이엔티,031-8061-7000,경기도 화성시 만세구 송산면 사강리 391-29,벽 및 바닥 피복용 플라스틱 제품 제조업
12337,주식회사 세진유화,,경기도 화성시 만세구 장안면 어은리 526-1,윤활유 및 그리스 제조업
12338,경호산업,,경기도 화성시 만세구 향남읍 송곡리 55,육상 금속 골조 구조재 제조업
12339,자이스코리아,031-211-0900,경기도 화성시 효행구 정남면 괘랑리 724,그 외 금속 파스너 및 나사제품 제조업
12340,드림팩,031-236-7657,경기도 화성시 병점구 반정동 118-8,포장용 플라스틱 성형용기 제조업
12341,수연택크 통상,031-356-0947,경기도 화성시 만세구 팔탄면 창곡리 1017,그 외 기타 금속 가공업
12342,에스와이시스템,031-662-8047,경기도 화성시 효행구 정남면 제기리 286-5,절삭 가공 및 유사 처리업
12343,주식회사 유림씨앤씨,031-352-8044,경기도 화성시 만세구 양감면 대양리 178,혼성 및 재생 플라스틱 소재 물질 제조업
12344,제이팩,,경기도 화성시 만세구 양감면 요당리 516-25,골판지 상자 및 가공제품 제조업
12345,두부품은떡갈비,,경기도 화성시 동탄구 영천동 892,두부 및 유사 식품 제조업
12346,정원금속,,경기도 화성시 만세구 장안면 수촌리 428-16,일반 철물 제조업
12347,주식회사 삼원엔지니어링,055-313-0046,경기도 화성시 만세구 마도면 석교리 212-8,"탭, 밸브 및 유사 장치 제조업"
12348,유니팜,050-7130-0197,경기도 화성시 동탄구 산척동 791,기타 비알코올 음료 제조업
12349,주식회사 희망포장,,경기도 화성시 효행구 정남면 계향리 567-11,골판지 제조업
12350,엠에스센서,,경기도 화성시 동탄구 영천동 834-1,메모리용 전자집적회로 제조업
12351,대명정밀,,경기도 화성시 효행구 정남면 용수리 53-16,반도체 제조용 기계 제조업
12352,제이케이이엔지,,경기도 화성시 만세구 우정읍 매향리 626-2,산업용 냉장 및 냉동장비 제조업
12353,신화정밀,,경기도 화성시 병점구 안녕동 180-164,절삭 가공 및 유사 처리업
12354,비전산업,,경기도 화성시 만세구 송산면 사강리 369-15,자동차용 금속 압형제품 제조업
12355,유성중공업,,경기도 화성시 만세구 송산면 마산리 416-16,기타 일반 기계 및 장비 수리업
12356,(주)하이텍환경 화성공장,,경기도 화성시 만세구 향남읍 증거리 385-33,배전반 및 전기 자동제어반 제조업
12357,데코프리,,경기도 화성시 만세구 송산면 지화리 169-78,합성수지 및 기타 플라스틱 물질 제조업
12358,새롬패널 화성공장,031-351-0479,경기도 화성시 만세구 우정읍 이화리 140-3,기타 구조용 금속제품 제조업
12359,정연정밀,,경기도 화성시 만세구 마도면 청원리 68-14,그 외 기타 분류 안된 금속 가공제품 제조업
12360,엠에이티플러스(주) 화성지사,031-659-0670,경기도 화성시 동탄구 반송동 33-3,기타 일반 기계 및 장비 수리업
12361,동행치과기공소,031-226-2804,경기도 화성시 병점구 병점동 381-17,치과기공물 제조업
12362,수세미뜨개공방,,경기도 화성시 병점구 병점동 858,그 외 기타 분류 안된 섬유제품 제조업
12363,（주）이투에스 화성지점,031-221-6162,,전구 및 램프 제조업
12364,주식회사 케이엠티산업,031-8059-4210,경기도 화성시 만세구 향남읍 백토리 161-4,"고무, 화학섬유 및 플라스틱 성형기 제조업"
12365,세라아트,070-4680-0040,경기도 화성시 만세구 송산면 육일리 593-12,기타 인쇄업
12366,정천,,경기도 화성시 만세구 팔탄면 지월리 772,그 외 기타 금속 가공업
12367,성은,031-432-8520,경기도 화성시 만세구 송산면 봉가리 479-7,벽 및 바닥 피복용 플라스틱 제품 제조업
12368,화씨보,,경기도 화성시 효행구 봉담읍 덕우리 161-3,혼성 및 재생 플라스틱 소재 물질 제조업
12369,동우하이텍(주),031-297-2233,경기도 화성시 효행구 봉담읍 당하리 234-1,기타 기계·장비 조립용 플라스틱제품 제조업
12370,코어테크,,경기도 화성시 만세구 송산면 사강리 233-1,주형 및 금형 제조업
12371,고려레미콘(주),031-353-2114,경기도 화성시 만세구 양감면 대양리 708-7,레미콘 제조업
12372,동진피엘,,경기도 화성시 만세구 서신면 광평리 181-1,운송장비 조립용 플라스틱제품 제조업
12373,엘케이이엔지,031-352-7821,경기도 화성시 만세구 향남읍 동오리 220-17,반도체 제조용 기계 제조업
12374,미래엔,,경기도 화성시 효행구 비봉면 청요리 615,기타 직물제품 제조업
12375,주식회사 파우코,031-354-8877,경기도 화성시 효행구 정남면 망월리 255-19,"플라스틱 포대, 봉투 및 유사제품 제조업"
12376,청암다이케스팅,031-366-1496,경기도 화성시 만세구 팔탄면 해창리 143-14,알루미늄 주물 주조업
12377,이온텍코리아,,경기도 화성시 만세구 우정읍 주곡리 1115,액체 여과기 제조업
12378,광명금속,031-358-3784,경기도 화성시 만세구 송산면 지화리 682-2,그 외 금속 파스너 및 나사제품 제조업
12379,（주) 에스디메카텍,031-8059-5480,경기도 화성시 만세구 향남읍 구문천리 926-7,반도체 제조용 기계 제조업
12380,마도인쇄열쇠,031-356-4640,경기도 화성시 만세구 마도면 쌍송리 662,기타 인쇄업
12381,주식회사 신원정공,031-831-5635,경기도 화성시 만세구 향남읍 송곡리 48,주형 및 금형 제조업
12382,하진산업,,경기도 화성시 병점구 안녕동 180-753,절삭 가공 및 유사 처리업
12383,웨이커(waker),070-8018-8274,경기도 화성시 동탄구 영천동 652-4,금속 가구 제조업
12384,웰프로,02-2268-3749,,기타 인쇄업
12385,태산기계,,경기도 화성시 만세구 서신면 전곡리 1107-2,그 외 기타 특수 목적용 기계 제조업
12386,주식회사 은성스틸,031-353-9770,경기도 화성시 만세구 장안면 석포리 448-62,구조용 금속 판제품 및 공작물 제조업
12387,용해정기,,경기도 화성시 만세구 장안면 독정리 952-8,컴퓨터 프린터 제조업
12388,진우포장,031-351-7492,경기도 화성시 만세구 장안면 노진리 547-15,골판지 상자 및 가공제품 제조업
12389,주식회사원일피엠지점,,경기도 화성시 만세구 향남읍 동오리 658-2,"고무, 화학섬유 및 플라스틱 성형기 제조업"
12390,사성정밀,,경기도 화성시 만세구 향남읍 증거리 436-20,주형 및 금형 제조업
12391,영광엔지니어링,,경기도 화성시 만세구 팔탄면 노하리 450-17,주형 및 금형 제조업
12392,케이몰드,031-372-9402,경기도 화성시 효행구 정남면 음양리 338,절삭 가공 및 유사 처리업
12393,중앙ENG,,경기도 화성시 효행구 봉담읍 마하리 190-8,"용기 세척, 포장 및 충전기 제조업"
12394,경우테크,031-366-2462,,"플라스틱 포대, 봉투 및 유사제품 제조업"
12395,주식회사 캠핑크,,경기도 화성시 만세구 향남읍 갈천리 218,그 외 자동차용 신품 부품 제조업
12396,(주)신사강,031-269-5454,경기도 화성시 효행구 매송면 천천리 167-1,기타 식사용 가공처리 조리식품 제조업
12397,오션웰라이프,,경기도 화성시 만세구 남양읍 안석리 380-16,그 외 기타 플라스틱 제품 제조업
12398,재은정밀,,경기도 화성시 효행구 정남면 신리 116,절삭 가공 및 유사 처리업
12399,카발로팩토리cavalofactory,,경기도 화성시 만세구 양감면 요당리 170-3,트레일러 및 세미 트레일러 제조업
12400,대경스틸론(주),031-354-6131,경기도 화성시 만세구 양감면 사창리 553-1,구조용 금속 판제품 및 공작물 제조업
12401,(주)대양그린텍,,경기도 화성시 만세구 장안면 수촌리 265-36,운송장비 조립용 플라스틱제품 제조업
12402,동서씨엔씨（주）,02-2648-2592,경기도 화성시 만세구 마도면 청원리 18-14,기체 여과기 제조업
12403,선진정밀,031-297-8746,경기도 화성시 효행구 봉담읍 당하리 230-3,그 외 금속 파스너 및 나사제품 제조업
12404,정원테크,031-366-4124,경기도 화성시 효행구 정남면 신리 152-1,절삭 가공 및 유사 처리업
12405,원창엔지니어링,,경기도 화성시 만세구 장안면 수촌리 265-39,자동차 차체용 신품 부품 제조업
12406,주식회사 지니,031-493-1506,경기도 화성시 만세구 남양읍 북양리 412,기타 목재 가구 제조업
12407,비에스엠 주식회사,031-353-8484,경기도 화성시 만세구 향남읍 백토리 363-6,기타 일반 기계 및 장비 수리업
12408,시온테크,031-224-0745,경기도 화성시 효행구 기안동 240-1,기타 반도체 소자 제조업
12409,(주)나노팩,,경기도 화성시 만세구 장안면 어은리 502,"플라스틱 포대, 봉투 및 유사제품 제조업"
12410,두원이엔씨(주),,경기도 화성시 효행구 봉담읍 분천리 46-26,배전반 및 전기 자동제어반 제조업
12411,국제전기,031-358-8522,경기도 화성시 만세구 장안면 독정리 355-1,변압기 제조업
12412,가야B&G,031-355-5585,경기도 화성시 만세구 마도면 송정리 107-5,그 외 기타 플라스틱 제품 제조업
12413,(주)한국토탈,031-358-5542,경기도 화성시 만세구 장안면 수촌리 911-12,합성수지 및 기타 플라스틱 물질 제조업
12414,신성테크,,경기도 화성시 만세구 팔탄면 율암리 580-14,절삭 가공 및 유사 처리업
12415,로이로스터스(LOYH ROASTERS),031-8043-8386,경기도 화성시 병점구 반정동 139-2,커피 가공업
12416,티아이솔루션,031-204-3003,경기도 화성시 동탄구 영천동 848-1,전자 부품 실장기판 제조업
12417,진성나노텍,031-354-6922,경기도 화성시 효행구 정남면 문학리 57-7,절삭 가공 및 유사 처리업
12418,"봉담 명함,고무인,도장,열쇠",031-222-2525,경기도 화성시 효행구 봉담읍 와우리 69-4,사무 및 회화용품 제조업
12419,화성산업,031-223-1009,경기도 화성시 병점구 안녕동 176-126,자동차용 금속 압형제품 제조업
12420,현대EM,,경기도 화성시 만세구 팔탄면 창곡리 654-8,포장용 플라스틱 성형용기 제조업
12421,조광엔프라,031-356-0157,경기도 화성시 만세구 마도면 청원리 15,합성수지 및 기타 플라스틱 물질 제조업
12422,(주)레인테크,031-237-3831,경기도 화성시 병점구 반월동 292-1,산업 처리공정 제어장비 제조업
12423,（주）제현산업,031-8047-5173,경기도 화성시 만세구 서신면 전곡리 1104-6,구조용 금속 판제품 및 공작물 제조업
12424,광성지엠(주),031-357-8011,경기도 화성시 만세구 남양읍 신남리 510-1,건설 및 채광용 기계장비 제조업
12425,대신공업,031-352-3823,경기도 화성시 만세구 팔탄면 서근리 220-4,강관 제조업
12426,에스알트레이딩,,경기도 화성시 효행구 봉담읍 왕림리 100-9,기타 직물제품 제조업
12427,베스트이엔지(BEST ENG),031-376-1668,경기도 화성시 효행구 정남면 덕절리 260-3,전기·전자 및 정밀 기기 수리업
12428,주식회사 탑에이스,031-215-8919,경기도 화성시 효행구 정남면 문학리 145-5,가정용 및 산업용 공기 조화장치 제조업
12429,올댓펌,,경기도 화성시 동탄구 송동 690-1,반도체 제조용 기계 제조업
12430,태양정밀,,경기도 화성시 만세구 팔탄면 구장리 80-1,주형 및 금형 제조업
12431,주식회사 예목,,경기도 화성시 효행구 봉담읍 마하리 47-1,매트리스 및 침대 제조업
12432,진광산업,031-224-7042,경기도 화성시 효행구 봉담읍 마하리 289-1,운송장비 조립용 플라스틱제품 제조업
12433,에이치아이티(H.I.T),031-353-4851,경기도 화성시 효행구 정남면 문학리 144-24,볼트 및 너트류 제조업
