명칭,도로명주소,단지분류,동수,세대수,면적(제곱미터),관리사무소연락처,관리기관,관리자 연락처,데이터기준일
스타캐슬 1차,경기도 화성시 효행구 비봉면 비봉로 90-3,주상복합,2,56,,,효행구 도시건축과,031-5189-7710,2026-07-01
스타캐슬 2차,경기도 화성시 효행구 비봉면 양노로 78-5,주상복합,2,72,,,효행구 도시건축과,031-5189-7710,2026-07-01
비봉 킹덤시티,경기도 화성시 효행구 비봉면 양노로 93,주상복합,1,96,,,효행구 도시건축과,031-5189-7710,2026-07-01
 화산국민주택,경기도 화성시 병점구 효행로 817-1,연립,7,198,,,병점구 도시건축과,031-5189-4236,2026-07-01
 신현대,경기도 화성시 병점구 효행로853번길 23,아파트,3,264,,,병점구 도시건축과,031-5189-4236,2026-07-01
 신현대2차,경기도 화성시 병점구 효행로853번길 31-9,아파트,6,282,,,병점구 도시건축과,031-5189-4236,2026-07-01
 효일목화,경기도 화성시 병점구 효행로 813-1,아파트,1,121,,,병점구 도시건축과,031-5189-4236,2026-07-01
한승미메이드2차,경기도 화성시 병점구 화산중앙로64번길 6,아파트,3,142,,,병점구 도시건축과,031-5189-4236,2026-07-01
 장안빌라 가동,경기도 화성시 만세구 송산면 삼일공원로 56,연립,1,12,1019.52,,만세구 현장민원실,031-5189-1394,2026-07-01
장안빌라 나동,경기도 화성시 만세구 송산면 삼일공원로 50,연립,1,21,1590.12,,만세구 현장민원실,031-5189-1394,2026-07-01
렉스타운,경기도 화성시 만세구 송산면 송산포도로 102-25,아파트,1,47,6970.59,,만세구 현장민원실,031-5189-1394,2026-07-01
솔이퍼스트,경기도 화성시 병점구 안녕북길 92,도시형생활주택,2,35,,,병점구 도시건축과,031-5189-4236,2026-07-01
동탄역 남해오네뜨 더테라스,경기도 화성시 동탄구 동부대로 952,아파트,10,147,,031-378-3540,동탄구 도시건축과,031-5189-6742,2026-07-01
중흥S클래스 더테라스리버파크3차,경기도 화성시 동탄구 동탄기흥로277번길 59,연립,10,104,,031-8077-4705,동탄구 도시건축과,031-5189-6742,2026-07-01
중흥S클래스 더테라스리버파크2차,경기도 화성시 동탄구 동탄기흥로353번길 96,연립,10,104,,031-8005-8356,동탄구 도시건축과,031-5189-6742,2026-07-01
삼괴,경기도 화성시 만세구 우정읍 조암로 52-5,연립,2,39,1092.9,,만세구 도시건축과,031-5189-1251,2026-07-01
우정,경기도 화성시 만세구 우정읍 조암서로22번길 7-3,연립,1,40,2347.56,,만세구 도시건축과,031-5189-1251,2026-07-01
 문영,경기도 화성시 만세구 우정읍 조암서로13번길 21,아파트,1,30,2079.36,,만세구 도시건축과,031-5189-1251,2026-07-01
미성고층아파트 101동,경기도 화성시 만세구 우정읍 조암로 53,아파트,1,49,4072.74,,만세구 도시건축과,031-5189-1251,2026-07-01
조암기산아파트 101동,경기도 화성시 만세구 우정읍 조암서로13번길 14,아파트,1,99,9629.28,,만세구 도시건축과,031-5189-1251,2026-07-01
미성아파트 102동,경기도 화성시 만세구 우정읍 조암로 48-3,아파트,1,34,2812.23,,만세구 도시건축과,031-5189-1251,2026-07-01
테라스 더 모스트 ,경기도 화성시 동탄구 동탄대로4가길 5,연립,9,140,,031-372-3319,동탄구 도시건축과,031-5189-6742,2026-07-01
태안연립주택,경기도 화성시 병점구 병점로 23-5,연립,3,54,,,병점구 도시건축과,031-5189-4236,2026-07-01
병점국민주택,경기도 화성시 병점구 병점로 23-6,연립,3,72,,,병점구 도시건축과,031-5189-4236,2026-07-01
동심주택,경기도 화성시 만세구 향남읍 도이1길 49,연립,1,21,1229.58,,만세구 도시건축과,031-5189-1251,2026-07-01
 대성,경기도 화성시 만세구 향남읍 푸른들판로257번길 43,연립,2,40,3131.52,,만세구 도시건축과,031-5189-1251,2026-07-01
 신양,경기도 화성시 만세구 향남읍 푸른들판로257번길 31,아파트,1,70,1866.8,,만세구 도시건축과,031-5189-1251,2026-07-01
 신양고층,경기도 화성시 만세구 향남읍 푸른들판로257번길 25,아파트,1,117,9991.51,,만세구 도시건축과,031-5189-1251,2026-07-01
다성본빌,경기도 화성시 만세구 향남읍 삼천병마로 297번길 9-7,도시형생활주택,1,63,4356.8,,만세구 도시건축과,031-5189-1251,2026-07-01
진안동 월드메르디앙 2단지,경기도 화성시 병점구 병점4로 37,아파트,2,109,,,병점구 도시건축과,031-5189-4236,2026-07-01
동탄 솔리움 더 테라스,경기도 화성시 동탄구 동탄대로24길 102,도시형생활주택,5,73,,031-376-8628,동탄구 도시건축과,031-5189-6749,2026-07-01
메종 드 엘리프,경기도 화성시 만세구 수노을중앙로 389,빌라/도시형,15,116,,,만세구 현장민원실,031-5189-1396,2026-07-01
메종 드 엘리프,경기도 화성시 만세구 수노을중앙로 337,빌라/도시형,14,88,,,만세구 현장민원실,031-5189-1396,2026-07-01
SK뷰파크3차,경기도 화성시 병점구 동탄지성로 319-19,아파트,13,1086,,031-8077-4963,병점구 도시건축과,031-5189-4236,2026-07-01
남양뉴타운 LH10단지,경기도 화성시 만세구 남양읍 남양로786번길 15,아파트,6,1022,73216.0,031-357-7780,만세구 현장민원실,031-5189-1392,2026-07-01
화성남양LH9단지,경기도 화성시 만세구 남양읍 남양중앙로 316,아파트,5,782,59236.0,031-356-0573,만세구 현장민원실,031-5189-1392,2026-07-01
화성남양뉴타운 LH6단지,경기도 화성시 만세구 남양읍 남양로862번길 16,아파트,2,410,24090.0,031-358-3042,만세구 현장민원실,031-5189-1392,2026-07-01
화성남양뉴타운LH4단지,경기도 화성시 만세구 남양읍 시청로45번길 96,아파트,6,876,66828.0,031-357-5368,만세구 현장민원실,031-5189-1392,2026-07-01
남양뉴타운 LH19단지 행복주택,경기도 화성시 만세구 남양읍 남양중앙로 420,아파트,5,880,58345.29,031-355-6216,만세구 현장민원실,031-5189-1392,2026-07-01
남양뉴타운 LH20단지,경기도 화성시 만세구 남양읍 남양중앙로 419,아파트,10,1778,130191.0,031-357-0910,만세구 현장민원실,031-5189-1392,2026-07-01
화성남양뉴타운루나포레,경기도 화성시 만세구 남양읍 역골동로 152,아파트,9,486,64793.0,031-357-7831,만세구 현장민원실,031-5189-1392,2026-07-01
현대자동차사원,경기도 화성시 만세구 남양읍 남양로621번길 38,아파트,3,274,26918.0,031-356-9925,만세구 현장민원실,031-5189-1392,2026-07-01
현대자동차아파트 2단지,경기도 화성시 만세구 남양읍 시청로 102번길 11,아파트,7,490,41526.29,031-356-4285,만세구 현장민원실,031-5189-1392,2026-07-01
능동마을주공7단지제1,경기도 화성시 동탄구 동탄원천로 388-10,아파트,8,682,,031-8003-7043,동탄구 도시건축과,031-5189-6740,2026-07-01
능동마을주공7단지제2,경기도 화성시 동탄구 동탄지성로 150-12,아파트,11,963,,031-8003-7053,동탄구 도시건축과,031-5189-6740,2026-07-01
능동마을주공7단지제3,경기도 화성시 동탄구 동탄원천로 315-13,아파트,11,534,,031-613-7042,동탄구 도시건축과,031-5189-6740,2026-07-01
능동마을주공7단지제4,경기도 화성시 동탄구 동탄지성로 150-11,아파트,6,231,,031-613-7091,동탄구 도시건축과,031-5189-6740,2026-07-01
상록예가,경기도 화성시 동탄구 동탄원천로 315-18,아파트,8,707,,031-8003-0985,동탄구 도시건축과,031-5189-6740,2026-07-01
화성매송휴먼시아1단지,경기도 화성시 효행구 매송면 매송로360번길 13,아파트,9,649,51427.0,031-298-8166,효행구 도시건축과,031-5189-7709,2026-07-01
경남아너스빌,경기도 화성시 동탄구 동탄순환대로20길 69,아파트,12,924,,031-373-8862,동탄구 도시건축과,031-5189-6759,2026-07-01
새강마을휴먼시아5-2단지,경기도 화성시 동탄구 동탄중앙로 99,아파트,19,2342,,031-8015-0890,동탄구 도시건축과,031-5189-6749,2026-07-01
신동탄 롯데캐슬,경기도 화성시 병점구 효행로 1338-44,아파트,13,1185,,031-202-6112,병점구 도시건축과,031-5189-4739,2026-07-01
화성병점행복주택,경기도 화성시 병점구 병점노을1로 14,아파트,4,862,,031-226-3356,병점구 도시건축과,031-5189-4739,2026-07-01
화성태안6단지,경기도 화성시 병점구 병점2로 141,아파트,10,990,,031-233-1761,병점구 도시건축과,031-5189-4739,2026-07-01
화성태안8단지,경기도 화성시 병점구 병점3로 157,아파트,9,836,,031-236-5597,병점구 도시건축과,031-5189-4739,2026-07-01
상리삼봉마을,경기도 화성시 효행구 봉담읍 삼천병마로 1256-10,아파트,7,583,46333.0,031-298-8390,효행구 도시건축과,031-5189-7709,2026-07-01
화성봉담2 LH2단지,경기도 화성시 효행구 봉담읍 상리1길 37,아파트,6,1028,69585.0,031-227-8707,효행구 도시건축과,031-5189-7709,2026-07-01
화성봉담2 LH3단지,경기도 화성시 효행구 봉담읍 상리3길 135,아파트,8,1338,88075.0,031-296-9003,효행구 도시건축과,031-5189-7709,2026-07-01
화성봉담2 LH4단지,경기도 화성시 효행구 봉담읍 상리3길 111,아파트,3,602,35247.0,031-227-8313,효행구 도시건축과,031-5189-7709,2026-07-01
화성상리 LH1단지,경기도 화성시 효행구 봉담읍 삼천병마로 1256-13,아파트,3,450,28540.0,031-293-4718,효행구 도시건축과,031-5189-7709,2026-07-01
휴먼시아동화마을1단지,경기도 화성시 효행구 봉담읍 동화길 81-13,아파트,7,622,55421.0,031-298-7172,효행구 도시건축과,031-5189-7709,2026-07-01
휴먼시아동화마을2단지,경기도 화성시 효행구 봉담읍 동화새터길 89,아파트,11,915,70798.0,031-298-4461,효행구 도시건축과,031-5189-7709,2026-07-01
휴먼시아동화마을3단지,경기도 화성시 효행구 봉담읍 동화새터길 121,아파트,10,842,63455.0,031-298-6080,효행구 도시건축과,031-5189-7709,2026-07-01
휴먼시아동화마을4단지,경기도 화성시 효행구 봉담읍 동화새터길 118,아파트,7,480,40813.0,031-298-2821,효행구 도시건축과,031-5189-7709,2026-07-01
힐스테이트 봉담,경기도 화성시 효행구 봉담읍 상리3길 90,아파트,13,1004,141571.0,031-297-0390,효행구 도시건축과,031-5189-7709,2026-07-01
화성봉담2그랑드비체,경기도 화성시 효행구 봉담읍 상리3길 87,아파트,11,1456,164934.0,031-292-3933,효행구 도시건축과,031-5189-7709,2026-07-01
화성비봉LH1단지,경기도 화성시 효행구 비봉면 새비봉동로 37,아파트,3,652,42393.0,031-356-6327,효행구 도시건축과,031-5189-7710,2026-07-01
화성비봉LH2단지,경기도 화성시 효행구 비봉면 새비봉동로 17,아파트,4,440,25686.0,031-356-3953,효행구 도시건축과,031-5189-7710,2026-07-01
화성비봉 LH5단지,경기도 화성시 효행구 비봉면 새비봉서로 96,아파트,15,894,57972.27,031-355-3203,효행구 도시건축과,031-5189-7710,2026-07-01
화성비봉 LH4단지,경기도 화성시 효행구 비봉면 새비봉남로 40,아파트,10,727,55556.96,031-357-0727,효행구 도시건축과,031-5189-7710,2026-07-01
동탄2LH35단지,경기도 화성시 동탄구 동탄순환대로10길 30-23,아파트,7,1768,,031-378-4621,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄호수공원경기행복주택,경기도 화성시 동탄구 동탄순환대로10길 20,아파트,6,995,,031-376-4825,동탄구 도시건축과,031-5189-5137,2026-07-01
화성동탄LH35단지,경기도 화성시 동탄구 동탄순환대로10길 42,아파트,23,900,,031-376-3528,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄 센트럴써밋(LH),경기도 화성시 동탄구 동탄신리천로 786,아파트,7,740,,031-374-8681,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄2 하우스디 NHF,경기도 화성시 동탄구 동탄순환대로12길 67,아파트,13,872,,031-378-6027,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄2 서희스타힐스24단지,경기도 화성시 동탄구 동탄순환대로 17길 15,아파트,8,882,,031-374-9680,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄레이크자이더테라스 (B16BL),경기도 화성시 동탄구 동탄순환대로1길 64,연립주택,20,367,,031-377-9081,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄레이크자이더테라스 (B15BL),경기도 화성시 동탄구 동탄순환대로1길 99,연립주택,7,116,,031-377-9081,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄2 LH 40단지,경기도 화성시 동탄구 동탄신리천로8길 15,아파트,6,850,,031-376-3736,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄2 동탄38단지 행복주택,경기도 화성시 동탄구 동탄신리천로5가길 35,아파트,35,1350,,031-378-9171,동탄구 도시건축과,031-5189-5137,2026-07-01
화성동탄2 LH행복주택38단지,경기도 화성시 동탄구 동탄신리천로5길 90,아파트,6,700,,031-376-5338,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄2 신동포레 경기행복주택,경기도 화성시 동탄구 동탄신리천로2길 66,아파트,12,1500,,031-375-6497,동탄구 도시건축과,031-5189-5137,2026-07-01
힐스테이트 동탄 포레,경기도 화성시 동탄구 동탄신리천로4길 47,아파트,8,585,,031-372-5787,동탄구 도시건축과,031-5189-5137,2026-07-01
화성동탄로렌하우스,경기도 화성시 동탄구 동탄신리천로6길 23,연립주택,104,332,,031-378-8151,동탄구 도시건축과,031-5189-5137,2026-07-01
화성태안LH1단지아파트,경기도 화성시 병점구 장조4로 14,아파트,7,790,,031-222-5101,병점구 도시건축과,031-5189-4236,2026-07-01
화성태안LH2단지아파트,경기도 화성시 병점구 장조4로 34,아파트,7,640,,031-223-4100,병점구 도시건축과,031-5189-4236,2026-07-01
 수산중공업㈜ 사원임대,경기도 화성시 만세구 양감면 정문송산로 259,아파트,1,60,2753.4,,만세구 도시건축과,031-5189-1252,2026-07-01
동탄2 LH 4단지,경기도 화성시 동탄구 동탄순환대로 24길 101,아파트,16,2147,,031-373-9591,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄2 LH1단지 A6블록,경기도 화성시 동탄구 동탄대로24가길 27,아파트,4,946,,031-376-7439,동탄구 도시건축과,031-5189-6740,2026-07-01
화성동탄2 LH2단지,경기도 화성시 동탄구 동탄영천로 108-21,아파트,14,1640,,031-378-6034,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄 LH2단지,경기도 화성시 동탄구 동탄영천로 108-10,아파트,13,1390,,031-378-2208,동탄구 도시건축과,031-5189-6740,2026-07-01
화성동탄상록리슈빌,경기도 화성시 동탄구 동탄순환대로29길 57,아파트,8,672,,031-374-0672,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄행복마을푸르지오,경기도 화성시 동탄구 동탄순환대로26길 81,아파트,11,1135,,031-378-6202,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄역 플라쎄 더 테라스,경기도 화성시 동탄구 동탄순환대로30길 24,연립주택,11,166,,031-373-7974,동탄구 도시건축과,031-5189-6740,2026-07-01
기아사원1차,경기도 화성시 만세구 우정읍 기아자동차로 561-8,아파트,4,296,19563.0,031-358-2629,만세구 도시건축과,031-5189-1251,2026-07-01
기아사원2차,경기도 화성시 만세구 우정읍 남양만로 867-10,아파트,3,240,17688.0,031-358-7588,만세구 도시건축과,031-5189-1251,2026-07-01
동탄2 LH26단지,경기도 화성시 동탄구 동탄기흥로277번길 12,아파트,6,608,,031-378-9962,동탄구 도시건축과,031-5189-6742,2026-07-01
힐스테이트 동탄 더 테라스,경기도 화성시 동탄구 동부대로 933,빌라/도시형,9,125,,031-376-9335,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄2LH행복주택28단지,경기도 화성시 동탄구 동탄순환대로2길 13,아파트,3,820,,031-372-2626,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄2 롯데캐슬,경기도 화성시 동탄구 동탄대로2길 49,아파트,9,612,,031-375-7702,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄 호수공원 리슈빌,경기도 화성시 동탄구 동탄대로3길 34,아파트,10,762,,031-377-9075,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄호수공원아이파크,경기도 화성시 동탄구 동탄순환대로8길 14,아파트,6,774,,031-374-9510,동탄구 도시건축과,031-5189-6742,2026-07-01
화성동탄2 NHF 엘크루,경기도 화성시 동탄구 동탄대로1길 96,아파트,10,856,,031-378-8516,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄2 풍림아이원,경기도 화성시 동탄구 동탄대로1길 20,아파트,5,448,,031-378-4992,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄호수공원자연앤자이,경기도 화성시 동탄구 동탄순환대로8길 11,아파트,8,965,,031-378-7783,동탄구 도시건축과,031-5189-6742,2026-07-01
화성태안주공12단지,경기도 화성시 병점구 병점4로 103,아파트,13,1178,,031-233-1762,병점구 도시건축과,031-5189-4236,2026-07-01
화성 진안1 따복하우스,경기도 화성시 병점구 효행로 988-14,다세대(도시형),1,16,,,병점구 도시건축과,031-5189-4236,2026-07-01
화성 진안2 따복하우스,경기도 화성시 병점구 효행로1040번길 9,다세대(도시형),1,15,,,병점구 도시건축과,031-5189-4236,2026-07-01
LH서봉마을 20단지,경기도 화성시 만세구 향남읍 벌말길 24,아파트,1,99,5510.08,031-352-1468,만세구 도시건축과,031-5189-1251,2026-07-01
서봉마을 5단지,경기도 화성시 만세구 향남읍 상신하길로 273번길 60,아파트,9,1242,89289.0,031-354-9755,만세구 도시건축과,031-5189-1251,2026-07-01
서봉마을센텀벨라19단지,경기도 화성시 만세구 향남읍 벌말길 16,아파트,6,357,52477.0,031-353-6143,만세구 도시건축과,031-5189-1251,2026-07-01
향남2지구 서봉마을 1단지,경기도 화성시 만세구 향남읍 상신하길로 356번길 15,아파트,4,544,41561.0,031-8059-5673,만세구 도시건축과,031-5189-1251,2026-07-01
향남시범 한우물마을 휴먼시아6단지,경기도 화성시 만세구 향남읍 행정남로 99-16,아파트,18,1330,99916.0,031-8059-0561,만세구 도시건축과,031-5189-1251,2026-07-01
향남한우물5단지,경기도 화성시 만세구 향남읍 행정남로 99-15,아파트,16,1150,85989.0,031-8059-5131,만세구 도시건축과,031-5189-1251,2026-07-01
화성 향남 서봉마을 2단지 ,경기도 화성시 만세구 향남읍 상신하길로356번길 29-16,아파트,5,704,53163.0,031-354-7892,만세구 도시건축과,031-5189-1251,2026-07-01
화성발안 LH1단지,경기도 화성시 만세구 향남읍 발안공단로 92-12,아파트,2,608,35173.0,031-8047-4995,만세구 도시건축과,031-5189-1251,2026-07-01
화성향남2 언덕마을 18단지,경기도 화성시 만세구 향남읍 상신하길로 35,아파트,10,1742,105644.0,031-8059-5320,만세구 도시건축과,031-5189-1251,2026-07-01
화성향남 언덕마을 15단지,경기도 화성시 만세구 향남읍 향남로39번길 22,아파트,21,922,63873.0,031-366-2017,만세구 도시건축과,031-5189-1251,2026-07-01
향남시범 복사꽃마을휴먼시아,경기도 화성시 만세구 향남읍 행정동로 101,아파트,11,941,77061.0,031-354-0219,만세구 도시건축과,031-5189-1251,2026-07-01
서봉마을 사랑으로 부영6단지,경기도 화성시 만세구 향남읍 상신하길로 295,아파트 ,12,1005,153980.0,031-8059-7650,만세구 도시건축과,031-5189-1251,2026-07-01
향남부영17단지,경기도 화성시 만세구 향남읍 상신하길로 65,아파트,11,942,139198.0,031-354-5939,만세구 도시건축과,031-5189-1251,2026-07-01
향남7단지 부영,경기도 화성시 만세구 향남읍 상신하길로 274번길 21,아파트,11,948,137201.0,031-359-8422,만세구 도시건축과,031-5189-1251,2026-07-01
향남 오색마을 사랑으로 부영10단지,경기도 화성시 만세구 향남읍 하길로 70,아파트,11,980,152708.0,031-8047-6246,만세구 도시건축과,031-5189-1251,2026-07-01
향남 오색마을 사랑으로 부영11단지,경기도 화성시 만세구 향남읍 하길로 9,아파트,13,1124,175154.0,031-8047-6237,만세구 도시건축과,031-5189-1251,2026-07-01
향남 오색마을 사랑으로 부영9단지,경기도 화성시 만세구 향남읍 하길로 69,아파트,7,684,105865.0,031-8047-6254,만세구 도시건축과,031-5189-1251,2026-07-01
성일사원,경기도 화성시 만세구 향남읍 동오1길 19-20,연립,2,36,680.76,,만세구 도시건축과,031-5189-1251,2026-07-01
화성향남21단지,경기도 화성시 만세구 향남읍 방죽로 22-8,아파트,6,605,,031-8047-0077,만세구 도시건축과,031-5189-1251,2026-07-01
화성향남22단지,경기도 화성시 만세구 향남읍 방죽로 22-7,아파트,7,445,,031-353-3533,만세구 도시건축과,031-5189-1251,2026-07-01
